model,accuracy_mean,accuracy_std,f1_mean,f1_std
LogReg,0.6333333333333333,0.08464947064110086,0.0,0.0
SVM,0.6666666666666667,0.11761037176408068,0.0,0.0
RF,0.6333333333333334,0.17142857142857146,0.0,0.0
