model,accuracy_mean,accuracy_std,f1_mean,f1_std
LogReg,0.6714285714285715,0.13333333333333336,0.4833333333333333,0.2603416558635551
SVM,0.6380952380952382,0.15013221686128048,0.46333333333333326,0.2621280433511667
RF,0.6428571428571429,0.13636020060263196,0.44761904761904764,0.2320176707634254
