Subject,Song_ID,Enjoyment,Familiarity,Familiarity_Group,theta_frontal,theta_central,theta_parietal
14,3,4,5,High,2.2493788894963537e-11,3.335194540056076e-11,4.885049688539081e-11
14,4,3,5,High,2.423823543813855e-11,3.186964000749915e-11,2.9921467926631037e-09
14,5,4,5,High,1.9037217035176976e-11,3.0506457275726695e-11,4.646289501398623e-09
14,6,2,5,High,9.788849695034783e-11,6.582696814229299e-11,1.0635746642431459e-08
14,7,1,1,Low,2.1691723222432503e-11,3.2157634793541775e-11,5.121500430658367e-11
14,9,4,5,High,1.8007719708016824e-11,3.195504879652825e-11,1.5212369346999437e-09
14,10,3,5,High,2.283683618639972e-11,2.7022614303179283e-11,5.067135246111881e-11
14,11,4,5,High,3.0794442815972674e-11,4.3055491150188605e-11,2.9182292089630217e-09
14,12,2,5,High,2.6777199630290083e-11,3.733984773245512e-11,5.944263607680702e-11
15,3,5,5,High,2.3210518460008164e-10,2.340233785427003e-10,2.439362858142623e-10
15,7,3,2,Low,2.877402714275454e-11,3.6291201332003046e-11,4.332591675490004e-11
15,12,2,2,Low,3.6940339029272415e-11,4.253133791825938e-11,5.086925862939779e-11
16,1,2,2,Low,1.3005422183715674e-11,2.1766289890794672e-11,9.539606514039638e-11
16,6,5,5,High,1.638935693502156e-11,1.926031482615754e-11,5.0259169553522507e-11
16,7,3,2,Low,1.743734440167846e-11,2.8471009546277754e-11,4.1752645732292934e-11
16,8,1,1,Low,1.6881147792295347e-11,2.627915419696503e-11,4.218851420527924e-11
16,10,5,5,High,1.7536217839296694e-11,2.189950400809989e-11,3.8059793772748075e-11
16,12,5,5,High,2.1638423955825538e-11,3.5934138943058855e-11,1.3480930571391757e-10
17,1,3,5,High,1.388551392736681e-11,3.116304179997707e-11,6.308365899801407e-11
17,2,2,2,Low,1.535147868127732e-11,3.3649484047884485e-11,6.463844977131568e-11
17,5,4,5,High,1.0921318378978182e-11,2.4011511894995638e-11,5.2882359644267605e-11
17,7,3,2,Low,1.7260790546011186e-11,3.617852308460812e-11,7.194254164541207e-11
17,9,4,5,High,1.2772663546561237e-11,2.7847591441865764e-11,6.032702153611853e-11
17,11,1,2,Low,1.2021647275171843e-11,2.9457544033041295e-11,6.218322614667386e-11
